QUARTER,GDP,GOV,NEWS,UNEMP,TB3,RDEF,MTR,ATR,MITR,AITR,ATR_PSZ,ATR_B90_PSZ,ATR_B50_PSZ,ATR_T10_PSZ,ATR_T05_PSZ,ATR_T01_PSZ,psoc,pfed,rinvfx,rnri,wgenofarm,hours
1913,0.006784,0.000512,0,5.3863,.,-0.000013,0.0032,0.001013,0.00320,0.001013,0.078591,0.067522,0.071223,0.093937,0.108836,0.12974,0.002189,0.002189,,,,
1913.25,0.006762,0.000527,0,5.5267,.,0.00001,0.0032,0.001013,0.003200,0.001013,0.078591,0.067522,0.071223,0.093937,0.108836,0.12974,0.002189,0.002189,,,,
1913.5,0.00676,0.000497,0,5.7269,.,-0.000007,0.0032,0.001013,0.003200,0.001013,0.078591,0.067522,0.071223,0.093937,0.108836,0.12974,0.002189,0.002189,,,,
1913.75,0.006555,0.000502,0,6.3201,.,-0.000009,0.0032,0.001013,0.003200,0.001013,0.078591,0.067522,0.071223,0.093937,0.108836,0.12974,0.002189,0.002189,,,,
1914,0.006317,0.000527,0,7.235,.,0,0.0049,0.001467,0.004900,0.001467,0.079352,0.06206,0.061553,0.102424,0.11928,0.143977,0.003438,0.003438,,,,
1914.25,0.006207,0.000528,0,8.1315,.,-0.000002,0.0049,0.001467,0.004900,0.001467,0.079352,0.06206,0.061553,0.102424,0.11928,0.143977,0.003438,0.003438,,,,
1914.5,0.006011,0.000537,0,8.9383,.,-0.000005,0.0049,0.001467,0.004900,0.001467,0.079352,0.06206,0.061553,0.102424,0.11928,0.143977,0.003438,0.003438,,,,
1914.75,0.005746,0.000537,0,9.6552,.,0.000011,0.0049,0.001467,0.004900,0.001467,0.079352,0.06206,0.061553,0.102424,0.11928,0.143977,0.003438,0.003438,,,,
1915,0.005856,0.000574,0,9.2287,.,0.000005,0.0065,0.002347,0.006500,0.002347,0.079663,0.060257,0.058736,0.105522,0.12454,0.152884,0.004163,0.004163,,,,
1915.25,0.005946,0.000546,0,9.4041,.,0.000012,0.0065,0.002347,0.006500,0.002347,0.079663,0.060257,0.058736,0.105522,0.12454,0.152884,0.004163,0.004163,,,,
1915.5,0.006175,0.000501,0,9.1277,.,-0.000006,0.0065,0.002347,0.006500,0.002347,0.079663,0.060257,0.058736,0.105522,0.12454,0.152884,0.004163,0.004163,,,,
1915.75,0.00657,0.000526,0.024472,8.3995,.,-0.000014,0.0065,0.002347,0.006500,0.002347,0.079663,0.060257,0.058736,0.105522,0.12454,0.152884,0.004163,0.004163,,,,
1916,0.006867,0.00054,0,7.3404,.,-0.000018,0.0132,0.004942,0.013200,0.004942,0.081304,0.067895,0.069955,0.098429,0.115567,0.13682,0.008299,0.008299,,,,
1916.25,0.006907,0.000482,0,6.5242,.,-0.000007,0.0132,0.004942,0.013200,0.004942,0.081304,0.067895,0.069955,0.098429,0.115567,0.13682,0.008299,0.008299,,,,
1916.5,0.006934,0.000527,0.006079,6.0719,.,0.000001,0.0132,0.004942,0.013200,0.004942,0.081304,0.067895,0.069955,0.098429,0.115567,0.13682,0.008299,0.008299,,,,
1916.75,0.006874,0.000474,0,5.9835,.,0.000013,0.0132,0.004942,0.013200,0.004942,0.081304,0.067895,0.069955,0.098429,0.115567,0.13682,0.008299,0.008299,,,,
1917,0.006576,0.00053,0,6.1245,.,0.000016,0.037,0.018842,0.037000,0.018842,0.088716,0.073079,0.076926,0.109951,0.128066,0.158997,0.018507,0.018507,,,,
1917.25,0.006671,0.000945,0.383316,5.8568,.,0.000342,0.037,0.018842,0.037000,0.018842,0.088716,0.073079,0.076926,0.109951,0.128066,0.158997,0.018507,0.018507,,,,
1917.5,0.006565,0.00084,0,5.0462,.,0.0007,0.037,0.018842,0.037000,0.018842,0.088716,0.073079,0.076926,0.109951,0.128066,0.158997,0.018507,0.018507,,,,
1917.75,0.006644,0.000846,0.069507,3.6925,.,0.001023,0.037,0.018842,0.037000,0.018842,0.088716,0.073079,0.076926,0.109951,0.128066,0.158997,0.018507,0.018507,,,,
1918,0.006772,0.001448,0,1.9813,.,0.001238,0.054,0.024045,0.054000,0.024045,0.106182,0.078447,0.083149,0.147931,0.170705,0.227385,0.030693,0.030693,,,,
1918.25,0.007222,0.001877,0.279528,0.79276,.,0.000776,0.054,0.024045,0.054000,0.024045,0.106182,0.078447,0.083149,0.147931,0.170705,0.227385,0.030693,0.030693,,,,
1918.5,0.0074,0.002074,-0.072737,0.64575,.,0.001137,0.054,0.024045,0.054000,0.024045,0.106182,0.078447,0.083149,0.147931,0.170705,0.227385,0.030693,0.030693,,,,
1918.75,0.00721,0.002301,-0.151859,1.5402,.,0.001634,0.054,0.024045,0.054000,0.024045,0.106182,0.078447,0.083149,0.147931,0.170705,0.227385,0.030693,0.030693,,,,
1919,0.006947,0.001755,0,2.3329,.,0.001257,0.052,0.023415,0.052000,0.023415,0.108733,0.08213,0.086975,0.14816,0.165431,0.210218,0.02927,0.02927,,,,
1919.25,0.00707,0.001035,0,2.0101,.,0.000664,0.052,0.023415,0.052000,0.023415,0.108733,0.08213,0.086975,0.14816,0.165431,0.210218,0.02927,0.02927,,,,
1919.5,0.00723,0.000748,0,2.4286,.,0.000163,0.052,0.023415,0.052000,0.023415,0.108733,0.08213,0.086975,0.14816,0.165431,0.210218,0.02927,0.02927,,,,
1919.75,0.007293,0.000499,0,2.5883,.,-0.000124,0.052,0.023415,0.052000,0.023415,0.108733,0.08213,0.086975,0.14816,0.165431,0.210218,0.02927,0.02927,,,,
1920,0.007262,0.000487,0,3.2986,4.5833,-0.000155,0.046,0.018794,0.046000,0.018794,0.107874,0.082345,0.088127,0.147012,0.167312,0.222211,0.027727,0.027727,,,,
1920.25,0.006955,0.000518,0,4.2369,5.5,-0.000035,0.046,0.018794,0.046000,0.018794,0.107874,0.082345,0.088127,0.147012,0.167312,0.222211,0.027727,0.027727,,,,
1920.5,0.006916,0.000526,0,5.5458,5.8167,-0.000152,0.046,0.018794,0.046000,0.018794,0.107874,0.082345,0.088127,0.147012,0.167312,0.222211,0.027727,0.027727,,,,
1920.75,0.00663,0.000583,0,7.5587,5.7933,-0.000076,0.046,0.018794,0.046000,0.018794,0.107874,0.082345,0.088127,0.147012,0.167312,0.222211,0.027727,0.027727,,,,
1921,0.006437,0.000719,0,10.031,5.45,-0.000012,0.042,0.015762,0.042000,0.015762,0.105592,0.078918,0.078086,0.140581,0.16664,0.228008,0.026658,0.026658,,,,
1921.25,0.006623,0.000683,0,11.804,5.1167,0.00004,0.042,0.015762,0.042000,0.015762,0.105592,0.078918,0.078086,0.140581,0.16664,0.228008,0.026658,0.026658,,,,
1921.5,0.006745,0.00054,0,11.966,4.7,-0.000102,0.042,0.015762,0.042000,0.015762,0.105592,0.078918,0.078086,0.140581,0.16664,0.228008,0.026658,0.026658,,,,
1921.75,0.006795,0.0006,-0.00996,11.518,4.0467,-0.000087,0.042,0.015762,0.042000,0.015762,0.105592,0.078918,0.078086,0.140581,0.16664,0.228008,0.026658,0.026658,,,,
1922,0.006741,0.000585,0,10.573,3.7533,-0.000061,0.046,0.017359,0.046000,0.017359,0.099172,0.073395,0.07354,0.134655,0.159101,0.222674,0.029147,0.029147,,,,
1922.25,0.006863,0.000571,0,9.3443,3.2367,-0.000046,0.046,0.017359,0.046000,0.017359,0.099172,0.073395,0.07354,0.134655,0.159101,0.222674,0.029147,0.029147,,,,
1922.5,0.006958,0.00062,0,7.9455,3.2233,-0.000062,0.046,0.017359,0.046000,0.017359,0.099172,0.073395,0.07354,0.134655,0.159101,0.222674,0.029147,0.029147,,,,
1922.75,0.007204,0.00077,0,6.377,3.6733,-0.000094,0.046,0.017359,0.046000,0.017359,0.099172,0.073395,0.07354,0.134655,0.159101,0.222674,0.029147,0.029147,,,,
1923,0.00757,0.000674,0,4.7579,3.81,-0.000051,0.033,0.01155,0.033000,0.011550,0.103966,0.073241,0.074962,0.151096,0.172789,0.234382,0.0217,0.0217,,,,
1923.25,0.007831,0.0006,0,3.9874,3.9733,-0.00008,0.033,0.01155,0.033000,0.011550,0.103966,0.073241,0.074962,0.151096,0.172789,0.234382,0.0217,0.0217,,,,
1923.5,0.007749,0.000587,0,4.1848,3.9267,-0.000096,0.033,0.01155,0.033000,0.011550,0.103966,0.073241,0.074962,0.151096,0.172789,0.234382,0.0217,0.0217,,,,
1923.75,0.007788,0.000669,0,4.35,4.0133,-0.000064,0.033,0.01155,0.033000,0.011550,0.103966,0.073241,0.074962,0.151096,0.172789,0.234382,0.0217,0.0217,,,,
1924,0.008011,0.00059,0,5.0249,3.6233,-0.000117,0.035,0.012052,0.035000,0.012052,0.0999,0.071533,0.072254,0.141857,0.161208,0.216047,0.023228,0.023228,,,,
1924.25,0.007722,0.000693,0,5.6175,2.7033,-0.000083,0.035,0.012052,0.035000,0.012052,0.0999,0.071533,0.072254,0.141857,0.161208,0.216047,0.023228,0.023228,,,,
1924.5,0.007564,0.000707,0,5.3363,1.9867,-0.000063,0.035,0.012052,0.035000,0.012052,0.0999,0.071533,0.072254,0.141857,0.161208,0.216047,0.023228,0.023228,,,,
1924.75,0.007829,0.0007,0,5.1813,2.52,-0.000092,0.035,0.012052,0.035000,0.012052,0.0999,0.071533,0.072254,0.141857,0.161208,0.216047,0.023228,0.023228,,,,
1925,0.007838,0.000738,0,5.1575,2.67,-0.000048,0.03,0.011613,0.030000,0.011613,0.102444,0.072794,0.073108,0.144709,0.161419,0.213618,0.018603,0.018603,,,,
1925.25,0.007803,0.000678,0,4.955,2.79,-0.000067,0.03,0.011613,0.030000,0.011613,0.102444,0.072794,0.073108,0.144709,0.161419,0.213618,0.018603,0.018603,,,,
1925.5,0.00792,0.000713,0,4.5788,3.08,-0.00007,0.03,0.011613,0.030000,0.011613,0.102444,0.072794,0.073108,0.144709,0.161419,0.213618,0.018603,0.018603,,,,
1925.75,0.008052,0.00069,0,4.0287,3.5633,-0.000073,0.03,0.011613,0.030000,0.011613,0.102444,0.072794,0.073108,0.144709,0.161419,0.213618,0.018603,0.018603,,,,
1926,0.008142,0.000675,0,3.358,3.27,-0.00009,0.028,0.01128,0.028000,0.011280,0.106173,0.077584,0.080751,0.147922,0.162896,0.212266,0.016911,0.016911,,,,
1926.25,0.008174,0.00072,0,2.8186,3.06,-0.000077,0.028,0.01128,0.028000,0.011280,0.106173,0.077584,0.080751,0.147922,0.162896,0.212266,0.016911,0.016911,,,,
1926.5,0.008366,0.000664,0,2.4636,3.2667,-0.000128,0.028,0.01128,0.028000,0.011280,0.106173,0.077584,0.080751,0.147922,0.162896,0.212266,0.016911,0.016911,,,,
1926.75,0.008404,0.000722,0,2.9597,3.3333,-0.000086,0.028,0.01128,0.028000,0.011280,0.106173,0.077584,0.080751,0.147922,0.162896,0.212266,0.016911,0.016911,,,,
1927,0.008354,0.00076,0,3.3178,3.24,-0.000078,0.032,0.012611,0.032000,0.012611,0.103029,0.074909,0.07757,0.14488,0.160996,0.21418,0.019636,0.019636,,,,
1927.25,0.008382,0.000725,0,3.5896,3.2633,-0.000106,0.032,0.012611,0.032000,0.012611,0.103029,0.074909,0.07757,0.14488,0.160996,0.21418,0.019636,0.019636,,,,
1927.5,0.008224,0.000773,0,4.1192,2.78,-0.000085,0.032,0.012611,0.032000,0.012611,0.103029,0.074909,0.07757,0.14488,0.160996,0.21418,0.019636,0.019636,,,,
1927.75,0.008039,0.000749,0,4.5734,3.0967,-0.000082,0.032,0.012611,0.032000,0.012611,0.103029,0.074909,0.07757,0.14488,0.160996,0.21418,0.019636,0.019636,,,,
1928,0.008068,0.00079,0.002669,4.8166,3.3033,-0.000102,0.041,0.016776,0.041000,0.016776,0.102434,0.07364,0.074161,0.142658,0.160445,0.213372,0.024637,0.024637,,,,
1928.25,0.008137,0.00076,0,5.2041,3.8133,-0.000062,0.041,0.016776,0.041000,0.016776,0.102434,0.07364,0.074161,0.142658,0.160445,0.213372,0.024637,0.024637,,,,
1928.5,0.008297,0.000775,0,4.9338,4.35,-0.000052,0.041,0.016776,0.041000,0.016776,0.102434,0.07364,0.074161,0.142658,0.160445,0.213372,0.024637,0.024637,,,,
1928.75,0.00836,0.000794,0,4.0056,4.4067,-0.000058,0.041,0.016776,0.041000,0.016776,0.102434,0.07364,0.074161,0.142658,0.160445,0.213372,0.024637,0.024637,,,,
1929,0.008509,0.000805,0,2.6522,4.55,-0.000078,0.035,0.013823,0.035000,0.013823,0.108772,0.077162,0.078644,0.154701,0.172876,0.230173,0.021474,0.021474,,,,
1929.25,0.008845,0.000777,0,1.9795,4.8967,-0.000083,0.035,0.013823,0.035000,0.013823,0.108772,0.077162,0.078644,0.154701,0.172876,0.230173,0.021474,0.021474,,,,
