year,id,name,income,pop,state_inc_tax,local_inc_tax
1948,1000,Alabama,2616982,2969000,5765,0
1949,1000,Alabama,2513436,3000000,7416,0
1950,1000,Alabama,2811323,3058000,7669,0
1951,1000,Alabama,3277192,3059000,7610,0
1952,1000,Alabama,3486968,3068000,9011,0
1953,1000,Alabama,3642760,3053000,9084,0
1954,1000,Alabama,3516498,3014000,9029,0
1955,1000,Alabama,3980303,3050000,12638,0
1956,1000,Alabama,4269910,3071000,20171,0
1957,1000,Alabama,4538490,3109000,21390,0
1958,1000,Alabama,4732834,3163000,20806,0
1959,1000,Alabama,4977031,3204000,25166,0
1960,1000,Alabama,5188262,3274000,26785,0
1961,1000,Alabama,5360086,3316000,26079,804
1962,1000,Alabama,5634112,3323000,32643,1380
1963,1000,Alabama,5984079,3358000,28952,1427
1964,1000,Alabama,6497590,3395000,53877,1987
1965,1000,Alabama,7052426,3443000,69788,2125
1966,1000,Alabama,7563851,3464000,68315,2489
1967,1000,Alabama,7991770,3458000,89489,2630
1968,1000,Alabama,8737454,3446000,97733,3081
1969,1000,Alabama,9737715,3440000,113022,3984
1970,1000,Alabama,10628318,3449846,116036,4524
1971,1000,Alabama,11699341,3497452,126616,5652
1972,1000,Alabama,12999098,3540080,154684,10391
1973,1000,Alabama,14638867,3580769,178381,13963
1974,1000,Alabama,16241055,3627805,176979,17213
1975,1000,Alabama,18100116,3680533,204629,19589
1976,1000,Alabama,20324056,3737204,233857,21270
1977,1000,Alabama,22394893,3782736,277335,21435
1978,1000,Alabama,25339922,3834120,331647,23577
1979,1000,Alabama,28151411,3869444,375998,24772
1980,1000,Alabama,31037123,3900368,405650,24009
1981,1000,Alabama,34465512,3918533,537420,29186
1982,1000,Alabama,36396094,3925263,492572,34058
1983,1000,Alabama,38970502,3934100,561643,38135
1984,1000,Alabama,42870184,3951824,639116,35309
1985,1000,Alabama,46098732,3972520,728470,38509
1986,1000,Alabama,48790314,3991569,861979,41841
1987,1000,Alabama,51651951,4015262,986102,39745
1988,1000,Alabama,55558831,4023842,949697,52155
1989,1000,Alabama,60395710,4030219,1087402,51645
1990,1000,Alabama,64239770,4050055,1152364,53790
1991,1000,Alabama,67929940,4099156,1179013,55980
1992,1000,Alabama,73039777,4154014,1271647,62723
1993,1000,Alabama,76398045,4214202,1344788,62513
1994,1000,Alabama,80848446,4260229,1419614,63764
1995,1000,Alabama,85473600,4296800,1547897,67268
1996,1000,Alabama,89349999,4331102,1634302,68968
1997,1000,Alabama,93981379,4367935,1746975,83891
1998,1000,Alabama,99847704,4404701,1835723,117368
1999,1000,Alabama,103369398,4430141,2012880,126897
2000,1000,Alabama,108215370,4452173,2066789,134537
2001,1000,Alabama,111947357,4467634,2099772,91316
2002,1000,Alabama,114904537,4480089,2047676,95805
2003,1000,Alabama,120123434,4503491,2050474,101346
2004,1000,Alabama,128828691,4530729,2213253,104041
2005,1000,Alabama,136861148,4569805,2530789,111666
2006,1000,Alabama,145692271,4628981,2817670,116006
2007,1000,Alabama,152984377,4672840,2984252,128596
2008,1000,Alabama,158450580,4718206,3005450,110004
2009,1000,Alabama,155913476,4757938,2703242,132028
2010,1000,Alabama,162531112,4787998,2561092,113591
2011,1000,Alabama,168474324,4812138,2818267,112967
2012,1000,Alabama,173361655,4839261,2953107,108313
2013,1000,Alabama,175185262,4864399,3224251,116419
2014,1000,Alabama,181078773,4886793,3192012,103374
2015,1000,Alabama,189115437,4908162,3401786,109000
2016,1000,Alabama,192363456,4930595,3500390,116043
2017,1000,Alabama,199336413,4952202,3632683,127481
2018,1000,Alabama,207053583,4976395,3840801,125988
2019,1000,Alabama,215930375,5003418,4441329,133628
2020,1000,Alabama,228748804,5024803,4834305,144588
1948,2000,Alaska,.,.,.,.
1949,2000,Alaska,.,.,.,.
1950,2000,Alaska,391378,135000,.,.
1951,2000,Alaska,537417,158000,.,.
1952,2000,Alaska,615233,189000,.,.
1953,2000,Alaska,649600,205000,.,.
1954,2000,Alaska,629274,215000,.,.
1955,2000,Alaska,640688,222000,.,.
1956,2000,Alaska,676830,224000,.,.
1957,2000,Alaska,669309,231000,.,.
1958,2000,Alaska,672186,224000,.,.
1959,2000,Alaska,700292,224000,.,.
1960,2000,Alaska,806341,229000,9592,0
1961,2000,Alaska,796477,238000,11114,0
1962,2000,Alaska,830985,246000,12651,0
1963,2000,Alaska,900722,256000,14076,0
1964,2000,Alaska,1008574,263000,14675,0
1965,2000,Alaska,1088456,271000,17404,0
1966,2000,Alaska,1158679,271000,21587,0
1967,2000,Alaska,1263648,278000,23123,0
