h,multlin1,multexp1,multexpb,multrec1,multrecb
0,,,,,
1,.3220838,.0146375,.0146375,.5651048,.5651048
2,.3554697,.0452178,.0452178,.5838899,.5838899
3,.3411968,.0500457,.0500457,.5729098,.5729098
4,.3622731,.1011787,.1011787,.5849716,.5849716
5,.426444,.1926697,.1926697,.6293949,.6293949
6,.4708365,.2431673,.2431673,.6597885,.6597885
7,.4976131,.2608052,.2608052,.6718253,.6718253
8,.5309063,.2839398,.2839398,.6879563,.6879563
9,.5576923,.2908089,.2908089,.699082,.699082
10,.5853949,.2902181,.2902181,.7127355,.7127355
11,.608511,.2908098,.2908098,.7207683,.7207683
12,.6212326,.278033,.278033,.7255303,.7255303
13,.6329463,.2652155,.2652155,.7311274,.7311274
14,.6466742,.2479105,.2479105,.7434309,.7434309
15,.6539981,.2106324,.2106324,.7588127,.7588127
16,.6561871,.1702967,.1702967,.7698799,.7698799
17,.6579984,.1347523,.1347523,.781545,.781545
18,.6600153,.1084833,.1084833,.7966389,.7966389
19,.663719,.0937484,.0937484,.8073809,.8073809
20,.6655864,.0810387,.0810387,.8125569,.8125569
