h,Critlin,Critexp,Critrec
0,,,
1,18.43294,13.69814,21.93739
2,17.23461,15.69776,21.98912
3,14.28664,15.81564,21.75395
4,10.60411,14.40657,20.29156
5,8.834702,12.63504,17.78089
6,7.852372,11.93047,15.53383
7,8.148833,13.06474,13.56481
8,8.436108,14.51538,12.20595
9,9.365059,15.75433,12.14906
10,10.20478,16.73449,12.27624
11,11.20048,17.40761,12.78899
12,12.00671,17.81478,13.0912
13,12.91476,18.04521,13.59866
14,14.05514,18.16771,14.68214
15,15.15131,18.19923,15.89155
16,15.84638,18.0604,16.76458
17,16.16358,17.8445,17.4723
18,16.39892,17.64899,17.70435
19,16.4902,17.4279,17.75782
20,16.55959,17.3235,17.7989
