h,Fdifflin,Fdiffexp,Fdiffrec
0,30,30,30
1,30,30,30
2,30,30,30
3,30,30,27.27643
4,30,29.08059,23.80646
5,30,27.30653,21.34191
6,27.48261,27.11632,21.08055
7,23.95936,22.77052,21.52679
8,19.4803,17.26009,19.9241
9,15.38736,12.83082,16.41488
10,11.01839,8.893343,12.42613
11,7.447337,5.631708,8.305346
12,4.868593,3.580614,4.963801
13,2.401412,1.991704,1.880088
14,-.1776083,1.096547,-1.482111
15,-2.29844,.1068468,-4.482203
16,-3.560698,-.2049462,-6.557263
17,-4.145586,-.1198192,-7.971182
18,-4.375428,-.5068584,-8.598665
19,-4.406641,-.700516,-8.950053
20,-4.554151,-1.374206,-9.311648
