h,Fefflin,Feffexp,Feffrec
0,,,
1,243.9731,126.2686,134.4239
2,87.25214,54.79925,63.51538
3,68.34056,47.28005,49.03038
4,53.14937,43.48716,44.09802
5,40.90326,39.94157,39.1228
6,35.33498,39.04679,36.61438
7,32.10819,35.83526,35.0916
8,27.91641,31.77547,32.13005
9,24.75242,28.58515,28.56394
10,21.22318,25.62783,24.70237
11,18.64782,23.03932,21.09434
12,16.8753,21.3954,18.055
13,15.31617,20.03691,15.47875
14,13.87753,19.26426,13.20003
15,12.85287,18.30608,11.40935
16,12.28568,17.85545,10.20732
17,12.01799,17.72468,9.501119
18,12.02349,17.14213,9.105684
19,12.08356,16.72738,8.807767
20,12.00544,15.94929,8.487252
