m,m_se,m_lb,m_ub,zero_line,H_horiz,rhog
.0065815,.002408,.0041735,.0089895,0,0,1
.0014608,.0025956,-.0011348,.0040563,0,1,.9
.0058733,.0022637,.0036096,.0081371,0,2,.81
.0078857,.002513,.0053727,.0103988,0,3,.729
.0109758,.0032187,.0077571,.0141945,0,4,.6561
.0177072,.0036247,.0140825,.0213319,0,5,.59049
.016162,.0032099,.0129521,.019372,0,6,.531441
.0172775,.0032567,.0140208,.0205342,0,7,.4782969
.0185048,.0040376,.0144672,.0225424,0,8,.4304672
.0156821,.0055133,.0101689,.0211954,0,9,.3874205
.015157,.0061952,.0089618,.0213521,0,10,.3486784
.0151717,.0048428,.0103289,.0200146,0,11,.3138106
.0123672,.0041446,.0082225,.0165118,0,12,.2824295
.0112641,.0028912,.0083729,.0141553,0,13,.2541866
.008224,.0021183,.0061057,.0103423,0,14,.2287679
.0083687,.0021198,.0062489,.0104885,0,15,.2058911
.0093811,.002772,.006609,.0121531,0,16,.185302
