m,m_se,m_lb,m_ub,zero_line,H_horiz,rhog
.0117119,.003296,.0084158,.0150079,0,0,1
.0089345,.0049583,.0039762,.0138928,0,1,.9
.015795,.0057027,.0100923,.0214978,0,2,.81
.0190019,.0058766,.0131253,.0248785,0,3,.729
.0231985,.0051097,.0180888,.0283082,0,4,.6561
.0382942,.0081895,.0301047,.0464837,0,5,.59049
.0331611,.0048409,.0283202,.038002,0,6,.531441
.0368558,.0050984,.0317574,.0419542,0,7,.4782969
.0397452,.0058864,.0338588,.0456317,0,8,.4304672
.0338621,.0078049,.0260572,.0416669,0,9,.3874205
.0320743,.0095635,.0225109,.0416378,0,10,.3486784
.0313027,.0079363,.0233664,.0392389,0,11,.3138106
.0258232,.0067894,.0190338,.0326126,0,12,.2824295
.0239622,.0051771,.0187851,.0291393,0,13,.2541866
.018758,.0033925,.0153654,.0221505,0,14,.2287679
.0192258,.0032894,.0159364,.0225152,0,15,.2058911
.0216881,.0042903,.0173978,.0259783,0,16,.185302
