m,m_se,m_lb,m_ub,zero_line,H_horiz,rhog
.0102607,.0047127,.005548,.0149735,0,0,1
.0149474,.0083573,.0065901,.0233047,0,1,.9
.0198434,.0093077,.0105356,.0291511,0,2,.81
.0222324,.0088914,.013341,.0311238,0,3,.729
.0244453,.0083645,.0160808,.0328098,0,4,.6561
.041174,.0114035,.0297705,.0525776,0,5,.59049
.0339982,.0066867,.0273114,.0406849,0,6,.531441
.0391567,.0078752,.0312815,.0470318,0,7,.4782969
.0424809,.0069925,.0354883,.0494734,0,8,.4304672
.0363598,.0067366,.0296232,.0430964,0,9,.3874205
.0338348,.0081543,.0256804,.0419891,0,10,.3486784
.0322618,.0074429,.0248189,.0397047,0,11,.3138106
.0269122,.0063166,.0205956,.0332288,0,12,.2824295
.0253963,.0055286,.0198678,.0309249,0,13,.2541866
.0210679,.0036623,.0174056,.0247303,0,14,.2287679
.0217142,.0037235,.0179907,.0254378,0,15,.2058911
.024614,.0044897,.0201243,.0291038,0,16,.185302
