m,m_se,m_lb,m_ub,zero_line,H_horiz
1,3.82e-09,1,1,0,0
1.178983,.12511,1.053873,1.304093,0,1
1.190865,.1874605,1.003404,1.378325,0,2
1.325137,.1875744,1.137563,1.512712,0,3
1.142199,.2145611,.9276379,1.35676,0,4
.7806265,.254719,.5259075,1.035345,0,5
.6971222,.2751392,.421983,.9722613,0,6
.6104345,.2704681,.3399663,.8809026,0,7
.3686924,.2485458,.1201465,.6172382,0,8
.3520773,.246049,.1060283,.5981264,0,9
.2842643,.2477125,.0365518,.5319769,0,10
.2811163,.2419024,.0392139,.5230187,0,11
.3320804,.2454052,.0866752,.5774857,0,12
.2833031,.2494607,.0338424,.5327638,0,13
.1605061,.2337151,-.0732091,.3942212,0,14
.2002533,.2085852,-.008332,.4088385,0,15
.1830015,.2054392,-.0224376,.3884407,0,16
