m,m_se,m_lb,m_ub,zero_line,H_horiz
.4904099,.1204619,.3699479,.6108718,0,0
.5645049,.1120905,.4524144,.6765953,0,1
.6446366,.0842972,.5603393,.7289338,0,2
.7034607,.0606143,.6428464,.764075,0,3
.6926834,.0643037,.6283796,.7569872,0,4
.6671035,.0714432,.5956603,.7385468,0,5
.6544875,.0746571,.5798304,.7291446,0,6
.6348003,.075784,.5590163,.7105843,0,7
.6214953,.0774864,.5440089,.6989817,0,8
.6062722,.0849066,.5213656,.6911789,0,9
.59199,.0929648,.4990252,.6849548,0,10
.5831602,.0976157,.4855445,.6807759,0,11
.5814682,.0983737,.4830945,.679842,0,12
.5768816,.0988529,.4780287,.6757345,0,13
.5743179,.0995598,.4747581,.6738778,0,14
.5713447,.1005386,.4708062,.6718833,0,15
.5659782,.101542,.4644362,.6675203,0,16
