m_P,m_se_P,m_lb_P,m_ub_P,m_R,m_se_R,m_lb_R,m_ub_R,pp_coef,pp_se,pp_df,pp_val,zero_line,H_horiz
.0793528,.1068833,-.0275305,.186236,-.161327,.1255755,-.2869025,-.0357515,.2406797,.1561743,,.1232931,0,0
.2375702,.1008348,.1367353,.338405,-.1131066,.1162568,-.2293634,.0031502,.3506768,.1236061,,.0045532,0,1
.2879516,.1404664,.1474851,.428418,-.024999,.1595734,-.1845724,.1345744,.3129506,.1972807,,.1126664,0,2
.2901809,.1590307,.1311501,.4492116,-.1104298,.2155041,-.3259339,.1050743,.4006107,.2403899,,.0956131,0,3
.3491434,.1675231,.1816203,.5166665,-.1669952,.262938,-.4299332,.0959428,.5161387,.2683716,,.0544519,0,4
.4836465,.1496035,.334043,.63325,-.1376612,.2989551,-.4366163,.1612939,.6213077,.2865624,,.0301479,0,5
.5732494,.1291122,.4441372,.7023616,-.1407627,.3260945,-.4668571,.1853318,.7140121,.2883238,,.0132706,0,6
.6247377,.1233472,.5013905,.7480848,-.1409056,.3516848,-.4925905,.2107792,.7656433,.2976787,,.0101099,0,7
.6988362,.1203047,.5785316,.8191409,-.08646,.3644127,-.4508728,.2779527,.7852963,.3099428,,.0112871,0,8
.7465469,.1262091,.6203378,.872756,-.0462281,.3825968,-.4288249,.3363687,.792775,.3223025,,.0139044,0,9
.793023,.1380173,.6550057,.9310403,-.0115654,.3968258,-.4083912,.3852604,.8045884,.3295721,,.014634,0,10
.8264886,.1485573,.6779312,.9750459,.0177916,.4075191,-.3897275,.4253107,.8086969,.3352116,,.0158437,0,11
.8440856,.1528548,.6912308,.9969404,.0384633,.4162353,-.377772,.4546986,.8056223,.340569,,.0180048,0,12
.8518813,.1524458,.6994355,1.004327,.0562638,.4171427,-.3608789,.4734066,.7956174,.3383043,,.0186838,0,13
.8554699,.1495078,.7059621,1.004978,.0776512,.4194741,-.3418229,.4971253,.7778188,.3374293,,.0211592,0,14
.843281,.1425389,.7007421,.9858199,.0670291,.432371,-.3653419,.4994,.7762519,.3482679,,.025821,0,15
.8379155,.138934,.6989815,.9768495,.0596643,.4417363,-.3820721,.5014006,.7782512,.3550745,,.0283942,0,16
