m_P,m_se_P,m_lb_P,m_ub_P,m_R,m_se_R,m_lb_R,m_ub_R,pp_coef,pp_se,pp_df,pp_val,zero_line,H_horiz
.0904294,.1096682,-.0192389,.2000976,-.0258684,.1817392,-.2076076,.1558708,.1162978,.2122535,,.5837473,0,0
.2395551,.0963257,.1432294,.3358809,.0679433,.1575025,-.0895592,.2254458,.1716118,.1297515,,.185962,0,1
.2845578,.1330613,.1514966,.4176191,.1847269,.1679772,.0167497,.3527041,.0998309,.1648351,,.5447531,0,2
.2840333,.1526969,.1313364,.4367301,.1254286,.2028992,-.0774706,.3283278,.1586046,.1999674,,.4276889,0,3
.3413061,.1632436,.1780625,.5045497,.0927861,.2230623,-.1302762,.3158485,.2485199,.2098079,,.2362105,0,4
.476224,.1491919,.3270321,.6254159,.1242474,.2316797,-.1074322,.3559271,.3519766,.2102695,,.0941442,0,5
.5654523,.130196,.4352563,.6956484,.1127328,.2361833,-.1234504,.3489161,.4527195,.1974001,,.0218244,0,6
.6115727,.12633,.4852428,.7379027,.0967966,.2512071,-.1544105,.3480036,.5147762,.1963582,,.0087514,0,7
.6835826,.1255169,.5580657,.8090995,.132683,.259991,-.127308,.392674,.5508996,.2043523,,.0070213,0,8
.7314501,.1333792,.598071,.8648293,.1607592,.2706605,-.1099013,.4314197,.5706909,.2104646,,.0066964,0,9
.7822397,.146147,.6360928,.9283867,.1957939,.2763162,-.0805223,.4721102,.5864458,.2106942,,.0053793,0,10
.8170605,.1588705,.6581901,.975931,.2147199,.289507,-.0747871,.5042269,.6023406,.2170039,,.0055081,0,11
.837426,.16385,.673576,1.001276,.2150195,.305469,-.0904495,.5204885,.6224065,.2293332,,.0066479,0,12
.8461716,.1626962,.6834754,1.008868,.2297597,.3116892,-.0819295,.5414488,.6164119,.2314438,,.0077371,0,13
.8494937,.1576304,.6918633,1.007124,.2454611,.3210239,-.0755629,.566485,.6040326,.2378823,,.0111104,0,14
.8393821,.148921,.690461,.9883031,.2406505,.336695,-.0960445,.5773456,.5987315,.2517025,,.0173726,0,15
.8387979,.1450741,.6937239,.983872,.2392362,.3505107,-.1112745,.5897469,.5995618,.2624576,,.0223472,0,16
