m_P,m_se_P,m_lb_P,m_ub_P,m_R,m_se_R,m_lb_R,m_ub_R,pp_coef,pp_se,pp_df,pp_val,zero_line,H_horiz
.4358786,.1279882,.3078903,.5638669,.685371,.0556278,.6297433,.7409988,-.2494924,.1440369,,.0832481,0,0
.5274282,.1192074,.4082208,.6466355,.7594846,.0536114,.7058733,.813096,-.2320565,.1349548,,.0855212,0,1
.6469372,.0909727,.5559645,.7379099,.771849,.0540447,.7178043,.8258937,-.1249118,.0929417,,.178955,0,2
.7297028,.065219,.6644838,.7949219,.8150718,.0592244,.7558474,.8742962,-.085369,.0731648,,.2432895,0,3
.7085267,.0656172,.6429096,.7741439,.8312581,.0633059,.7679523,.894564,-.1227313,.0728702,,.0921343,0,4
.6617345,.0744395,.5872949,.736174,.8263085,.067319,.7589895,.8936275,-.164574,.0706295,,.0198007,0,5
.641058,.0821609,.5588971,.7232189,.7942942,.0846416,.7096525,.8789358,-.1532362,.0669917,,.0221731,0,6
.6090178,.0880974,.5209204,.6971152,.7432828,.1091225,.6341603,.8524053,-.134265,.0695433,,.0535244,0,7
.5850964,.0963839,.4887125,.6814803,.6849973,.1308518,.5541455,.8158491,-.0999009,.0761536,,.189576,0,8
.5566477,.1121416,.4445061,.6687893,.616855,.1645575,.4522974,.7814125,-.0602073,.0886585,,.4970797,0,9
.5255089,.1296141,.3958948,.655123,.5080229,.2115126,.2965103,.7195355,.017486,.1126375,,.8766313,0,10
.5033943,.1429363,.360458,.6463307,.4362019,.2548762,.1813257,.6910781,.0671924,.1418912,,.6358216,0,11
.4945833,.1509787,.3436046,.645562,.3835394,.2867464,.096793,.6702858,.1110439,.1641523,,.4987433,0,12
.4814337,.1567413,.3246924,.638175,.3280414,.3200914,.00795,.6481328,.1533923,.1899453,,.4193437,0,13
.4760042,.1618463,.314158,.6378505,.2737334,.3546253,-.0808919,.6283587,.2022709,.2168646,,.3509719,0,14
.4735378,.1659133,.3076245,.6394511,.2292216,.3858484,-.1566268,.61507,.2443161,.2418492,,.3123994,0,15
.4714385,.1658235,.305615,.637262,.2103626,.394302,-.1839394,.6046646,.2610759,.2489941,,.2943979,0,16
