m,m_se,m_lb,m_ub,zero_line,H_horiz
-.0114853,.0289558,-.0404411,.0174705,0,0
-.0190755,.0414505,-.060526,.022375,0,1
-.0171114,.0493409,-.0664523,.0322295,0,2
-.057818,.0620506,-.1198686,.0042326,0,3
-.073235,.0572398,-.1304748,-.0159951,0,4
-.0116738,.055069,-.0667428,.0433952,0,5
-.0091567,.0607852,-.0699419,.0516285,0,6
-.0301295,.0575268,-.0876563,.0273973,0,7
-.0695825,.0477811,-.1173635,-.0218014,0,8
-.0610707,.0522596,-.1133303,-.0088111,0,9
-.009937,.0638986,-.0738356,.0539617,0,10
-.0129671,.0661439,-.079111,.0531768,0,11
-.058874,.0521711,-.1110451,-.006703,0,12
-.0639684,.0595347,-.1235032,-.0044337,0,13
-.0480421,.0805024,-.1285446,.0324603,0,14
-.0355221,.0763821,-.1119042,.0408599,0,15
-.0058132,.0788413,-.0846546,.0730281,0,16
