m_P,m_se_P,m_lb_P,m_ub_P,m_R,m_se_R,m_lb_R,m_ub_R,pp_coef,pp_se,pp_df,pp_val,zero_line,H_horiz
-.0252189,.026657,-.0518758,.0014381,-.0589472,.0522876,-.1112348,-.0066596,26.09095,32.94502,,.4283874,0,0
-.0144101,.0318524,-.0462625,.0174423,-.1123092,.0569034,-.1692126,-.0554059,70.91824,36.4367,,.0516138,0,1
.0633996,.0464771,.0169224,.1098767,-.1462383,.0405792,-.1868175,-.105659,144.1456,43.77102,,.0009906,0,2
.0695344,.0571757,.0123588,.1267101,-.1510623,.0581449,-.2092072,-.0929173,151.4499,57.98506,,.0090046,0,3
.0197883,.0590426,-.0392543,.0788309,-.092275,.0651612,-.1574362,-.0271138,78.20844,60.38351,,.1952529,0,4
.0594505,.0608472,-.0013967,.1202977,.0203357,.0569279,-.0365923,.0772636,22.99661,51.97324,,.6581489,0,5
.1441365,.0914862,.0526503,.2356227,.0352496,.0655381,-.0302885,.1007877,65.76604,66.24683,,.3208354,0,6
.2126867,.118408,.0942787,.3310948,.0208865,.0506928,-.0298063,.0715793,119.2176,72.3624,,.0994537,0,7
.1010474,.0911377,.0099097,.1921851,.0348598,.046899,-.0120392,.0817587,38.87665,64.99878,,.5497642,0,8
.0504253,.0875393,-.037114,.1379645,.027943,.0506953,-.0227523,.0786383,11.88721,66.95447,,.8590829,0,9
.1556292,.1300351,.0255941,.2856643,-.0225597,.0676655,-.0902253,.0451058,114.1926,109.7888,,.2982879,0,10
.1429356,.1411557,.0017799,.2840914,-.0579395,.0653962,-.1233358,.0074567,131.3923,116.1972,,.2581519,0,11
.0724925,.1208055,-.0483131,.193298,-.1393448,.0696104,-.2089552,-.0697343,144.9679,105.0888,,.1677465,0,12
.0892751,.1244323,-.0351571,.2137074,-.1761059,.0651467,-.2412525,-.1109592,181.736,103.8614,,.0801539,0,13
.05086,.111961,-.061101,.162821,-.1131683,.05046,-.1636283,-.0627083,112.6821,84.0191,,.1798723,0,14
.0647217,.0916285,-.0269068,.1563501,-.1022532,.0502528,-.152506,-.0520005,113.6464,77.1629,,.1408021,0,15
.1033754,.1006255,.00275,.2040009,-.0429074,.0463208,-.0892282,.0034133,95.74198,68.39139,,.1615394,0,16
