m,m_se,m_lb,m_ub,pp_coef,pp_se,pp_df,pp_pv,H_horiz,rhog,zero_line
.0002366,.0011799,-.0009433,.0014165,,,,,0,1,0
-.0018021,.0010605,-.0028627,-.0007416,,,,,1,.9,0
-.0008759,.0008236,-.0016995,-.0000523,,,,,2,.81,0
-.000906,.0007499,-.0016558,-.0001561,,,,,3,.729,0
-.0006779,.0007147,-.0013926,.0000368,,,,,4,.6561,0
-.0005505,.0007683,-.0013187,.0002178,,,,,5,.59049,0
-.0003234,.0008358,-.0011592,.0005124,,,,,6,.531441,0
-.0004925,.0009774,-.00147,.0004849,,,,,7,.4782969,0
.0003354,.0010565,-.0007211,.001392,,,,,8,.4304672,0
-.0000551,.0010848,-.0011399,.0010297,,,,,9,.3874205,0
-.0002891,.0010786,-.0013678,.0007895,,,,,10,.3486784,0
-.0001062,.0011569,-.0012631,.0010507,,,,,11,.3138106,0
.0009889,.0011397,-.0001508,.0021286,,,,,12,.2824295,0
.0011684,.0011702,-1.79e-06,.0023385,,,,,13,.2541866,0
.0016168,.0015732,.0000437,.00319,,,,,14,.2287679,0
.0027971,.0031798,-.0003827,.0059769,,,,,15,.2058911,0
.0040878,.0056344,-.0015466,.0097222,,,,,16,.185302,0
