m,m_se,m_lb,m_ub,zero_line,H_horiz
.178283,.1312805,.0470024,.3095635,0,0
.3159024,.1136163,.2022861,.4295186,0,1
.3979451,.1232995,.2746456,.5212446,0,2
.4137304,.1337679,.2799625,.5474983,0,3
.4691454,.1308437,.3383017,.5999891,0,4
.5530615,.1086758,.4443858,.6617373,0,5
.5998888,.0939865,.5059023,.6938753,0,6
.6236193,.0856143,.5380049,.7092336,0,7
.6557171,.0766944,.5790227,.7324114,0,8
.6812617,.0711443,.6101174,.752406,0,9
.7049559,.0697414,.6352146,.7746973,0,10
.7206299,.0696841,.6509458,.790314,0,11
.7291791,.0688851,.6602941,.7980642,0,12
.7386097,.0678777,.670732,.8064874,0,13
.7493493,.0677768,.6815725,.8171261,0,14
.7580977,.0684111,.6896866,.8265088,0,15
.7689503,.07065,.6983003,.8396004,0,16
