m,m_se,m_lb,m_ub,zero_line,H_horiz
.0235571,.0220253,.0015318,.0455824,0,0
.0805505,.0355687,.0449819,.1161192,0,1
.0983427,.0428419,.0555008,.1411846,0,2
.0767895,.0537451,.0230444,.1305346,0,3
.1068087,.0615291,.0452796,.1683379,0,4
.1784782,.0655903,.1128879,.2440685,0,5
.1620589,.0663863,.0956726,.2284452,0,6
.1410654,.0699194,.071146,.2109849,0,7
.1519957,.0708125,.0811831,.2228082,0,8
.1141598,.0708996,.0432602,.1850594,0,9
.1095469,.0734894,.0360575,.1830363,0,10
.0955173,.0785092,.0170082,.1740265,0,11
.0875132,.0806815,.0068317,.1681946,0,12
.0870231,.0832611,.003762,.1702842,0,13
.0839481,.0870538,-.0031057,.1710018,0,14
.0427466,.0883161,-.0455695,.1310628,0,15
.0193065,.0933695,-.074063,.112676,0,16
