m,m_se,m_lb,m_ub,zero_line,H_horiz
.0432935,.0134824,.0298111,.0567759,0,0
.0598624,.027471,.0323914,.0873334,0,1
.1003779,.0303332,.0700447,.1307112,0,2
.1272589,.0334078,.0938511,.1606667,0,3
.1895861,.046056,.1435301,.2356421,0,4
.241059,.0566193,.1844398,.2976783,0,5
.2836705,.0668025,.216868,.350473,0,6
.2824575,.0782982,.2041593,.3607557,0,7
.3138683,.0872236,.2266447,.4010918,0,8
.3591266,.0914429,.2676837,.4505695,0,9
.3798774,.0997139,.2801635,.4795913,0,10
.3777121,.103596,.2741161,.4813081,0,11
.3477286,.1105514,.2371771,.45828,0,12
.3220381,.1212657,.2007724,.4433038,0,13
.29656,.128524,.168036,.4250841,0,14
.254802,.1206395,.1341625,.3754416,0,15
.2318794,.1099684,.1219109,.3418478,0,16
