m,m_se,m_lb,m_ub,zero_line,H_horiz
.0430453,.0235234,.019522,.0665687,0,0
.0818249,.0387451,.0430798,.1205699,0,1
.158377,.0557597,.1026173,.2141367,0,2
.2305406,.0694005,.1611401,.2999411,0,3
.2834512,.0810331,.2024181,.3644843,0,4
.332738,.0936237,.2391144,.4263617,0,5
.375224,.1008847,.2743394,.4761087,0,6
.3850801,.1059752,.279105,.4910553,0,7
.3843943,.1180921,.2663023,.5024865,0,8
.4043294,.1326497,.2716797,.536979,0,9
.4114366,.1438187,.2676179,.5552552,0,10
.4269242,.1498606,.2770635,.5767848,0,11
.4201079,.1526884,.2674195,.5727962,0,12
.3907768,.1508901,.2398867,.5416669,0,13
.3654305,.152161,.2132695,.5175915,0,14
.3139683,.1372857,.1766826,.451254,0,15
.2477663,.1218271,.1259392,.3695934,0,16
