m_P,m_se_P,m_lb_P,m_ub_P,m_R,m_se_R,m_lb_R,m_ub_R,pp_coef,pp_se,pp_df,pp_val,zero_line,H_horiz
.01,.0006022,.0093978,.0106022,.01,.001964,.008036,.011964,-.8491224,1.364117,,.5336327,0,0
.011811,.0015053,.0103057,.0133162,.0094903,.0011674,.0083229,.0106577,.6554071,.8241317,,.4264565,0,1
.0114679,.0014719,.009996,.0129399,.0079353,.000592,.0073433,.0085273,1.550568,1.052929,,.1408525,0,2
.0128463,.0016815,.0111648,.0145278,.0062936,.0009375,.0053561,.0072312,3.591615,1.21326,,.0030734,0,3
.0105129,.0019245,.0085884,.0124373,.0042564,.0013893,.0028671,.0056456,3.5781,1.594972,,.0248735,0,4
.0066009,.0025239,.0040769,.0091248,.0006843,.0014073,-.000723,.0020917,3.667355,1.845728,,.0469288,0,5
.0057956,.0025454,.0032502,.008341,-.0010083,.0012393,-.0022476,.0002309,4.369843,1.564692,,.0052257,0,6
.0041092,.0027426,.0013666,.0068519,.0003413,.0015693,-.001228,.0019107,2.343544,2.351075,,.3188633,0,7
.0006767,.0027055,-.0020289,.0033822,.0003184,.0014856,-.0011672,.001804,.1985388,2.188939,,.9277303,0,8
.0012592,.002663,-.0014038,.0039221,-.0020539,.0014106,-.0034645,-.0006432,2.260519,2.00677,,.2599766,0,9
.0000879,.0029385,-.0028506,.0030264,-.0018528,.0016865,-.0035392,-.0001663,1.379261,2.391609,,.5641364,0,10
.0001847,.0029457,-.0027611,.0031304,-.0018566,.0017065,-.0035631,-.0001502,1.442997,2.580884,,.5760868,0,11
.0011937,.0028945,-.0017009,.0040882,-.0029451,.0019118,-.0048569,-.0010332,2.856092,2.138859,,.1817669,0,12
.0009849,.0034556,-.0024707,.0044405,-.0033161,.0018104,-.0051266,-.0015057,2.989823,2.234143,,.1808177,0,13
-.000317,.0031662,-.0034832,.0028492,-.0034271,.0017278,-.0051548,-.0016993,2.249334,2.185719,,.3034304,0,14
.0006295,.0020799,-.0014504,.0027094,-.0032991,.0018641,-.0051632,-.001435,2.753838,1.740114,,.1135212,0,15
.0016735,.0016847,-.0000112,.0033582,-.0042311,.0022754,-.0065065,-.0019557,4.077266,1.801438,,.0236148,0,16
