m_P,m_se_P,m_lb_P,m_ub_P,m_R,m_se_R,m_lb_R,m_ub_R,pp_coef,pp_se,pp_df,pp_val,zero_line,H_horiz
.0005168,.0002037,.0003131,.0007206,-1.99e-06,.0002773,-.0002793,.0002753,.2121906,.1167051,,.069037,0,0
.0003433,.0002715,.0000718,.0006149,-.0004998,.0004459,-.0009457,-.0000539,.2977104,.1869833,,.111345,0,1
.0005562,.0004791,.0000771,.0010353,-.0009862,.0005349,-.001521,-.0004513,.5377457,.2563974,,.0359659,0,2
.0010878,.0004445,.0006433,.0015323,-.0014903,.0006069,-.0020972,-.0008834,.9138901,.2509787,,.0002713,0,3
.001152,.0004832,.0006688,.0016353,-.0014263,.0006411,-.0020674,-.0007852,.9200453,.2494206,,.0002254,0,4
.0018981,.0005049,.0013932,.002403,-.0008697,.0007493,-.001619,-.0001204,1.050446,.2671644,,.0000843,0,5
.0017732,.0006126,.0011606,.0023858,.0000624,.0006658,-.0006033,.0007282,.706223,.2671674,,.0082085,0,6
.0021052,.0005891,.0015161,.0026943,.0007794,.0007263,.0000531,.0015057,.6167216,.2519162,,.0143603,0,7
.0024107,.0004066,.0020041,.0028173,.0006465,.0006196,.000027,.0012661,.7835566,.1934401,,.0000511,0,8
.0019784,.0002769,.0017016,.0022553,.0007279,.0006332,.0000947,.0013611,.5810024,.1774869,,.0010623,0,9
.0020891,.0004016,.0016875,.0024907,.0004655,.0006702,-.0002048,.0011357,.7088195,.2888163,,.0141189,0,10
.0016465,.0004369,.0012096,.0020834,.0006021,.0007422,-.0001401,.0013443,.4846788,.3161571,,.1252681,0,11
.0004965,.0003909,.0001057,.0008874,.0005197,.0007601,-.0002405,.0012798,.0398688,.3246445,,.9022594,0,12
-.0008353,.0003818,-.0012171,-.0004534,.0008749,.0008387,.0000362,.0017136,-.6170061,.3467069,,.0751384,0,13
-.0017814,.000414,-.0021953,-.0013674,.0021365,.0008313,.0013052,.0029677,-1.400972,.3109775,,6.64e-06,0,14
-.0026242,.0005727,-.0031969,-.0020515,.0018575,.000737,.0011204,.0025945,-1.65827,.2975428,,2.50e-08,0,15
-.0027799,.0006849,-.0034648,-.002095,.0015514,.0007999,.0007515,.0023514,-1.625774,.3521575,,3.90e-06,0,16
