m_P,m_se_P,m_lb_P,m_ub_P,m_R,m_se_R,m_lb_R,m_ub_R,pp_coef,pp_se,pp_df,pp_val,zero_line,H_horiz
-.0017754,.0013629,-.0031382,-.0004125,-.0026946,.0011515,-.0038461,-.0015431,.1205054,.6363877,,.8498119,0,0
-.0082084,.0015999,-.0098083,-.0066086,-.0052113,.001922,-.0071334,-.0032893,-1.721575,.8393075,,.0402489,0,1
-.0097155,.0019754,-.0116909,-.0077401,-.0060657,.0024413,-.008507,-.0036244,-2.069893,1.068396,,.0526985,0,2
-.0079666,.0022476,-.0102142,-.0057189,-.0047536,.0023344,-.007088,-.0024192,-1.766493,.9044125,,.0507966,0,3
-.0080577,.0021197,-.0101774,-.0059381,-.0005445,.0020934,-.002638,.0015489,-3.127255,.8353238,,.0001813,0,4
-.0013168,.0017352,-.003052,.0004184,.0025808,.0018985,.0006823,.0044792,-1.350497,.7400519,,.0680209,0,5
.0016718,.0019386,-.0002668,.0036104,.0054711,.002721,.0027501,.008192,-1.035878,.9554663,,.2782942,0,6
.0029605,.0019206,.0010399,.0048811,.0076864,.0032236,.0044628,.01091,-1.20492,1.205111,,.3173873,0,7
.0034009,.0017191,.0016818,.00512,.0075491,.0038777,.0036713,.0114268,-.9814342,1.309854,,.4536946,0,8
.0003979,.0020217,-.0016238,.0024196,.0070433,.003857,.0031863,.0109003,-2.051708,1.335881,,.124576,0,9
.0015573,.0016435,-.0000861,.0032008,.0094588,.0034879,.0059709,.0129467,-2.336577,1.023029,,.0223727,0,10
-.0023748,.0018452,-.0042199,-.0005296,.0076383,.0033505,.0042878,.0109888,-3.373791,1.076136,,.001718,0,11
-.0041987,.0016334,-.0058321,-.0025653,.0077441,.0029737,.0047704,.0107178,-4.153687,1.052042,,.0000787,0,12
-.0046205,.0019443,-.0065648,-.0026762,.0059415,.0034348,.0025068,.0093763,-3.759617,1.404025,,.007412,0,13
-.0067544,.0022006,-.008955,-.0045539,.0068423,.0037168,.0031254,.0105591,-4.91635,1.529378,,.0013062,0,14
-.0031488,.0026148,-.0057635,-.000534,.0050034,.0036066,.0013968,.00861,-2.862164,1.556093,,.0658671,0,15
.0001412,.002753,-.0026118,.0028942,.0029142,.0038012,-.000887,.0067154,-.8584993,1.574787,,.5856486,0,16
