m_P,m_se_P,m_lb_P,m_ub_P,m_R,m_se_R,m_lb_R,m_ub_R,pp_coef,pp_se,pp_df,pp_val,zero_line,H_horiz
-.0006458,.0004316,-.0010775,-.0002142,.0010487,.0004442,.0006046,.0014929,-.7923537,.3190596,,.0130134,0,0
-.0002632,.000465,-.0007282,.0002018,.0014425,.0005251,.0009174,.0019676,-.783953,.3303575,,.0176422,0,1
.0007212,.0005002,.000221,.0012214,.001371,.0006808,.0006902,.0020518,-.2697074,.3353228,,.4212112,0,2
.0010043,.0005441,.0004602,.0015484,.0018107,.0005836,.0012271,.0023943,-.330862,.2883615,,.251222,0,3
.0009068,.0004513,.0004555,.0013581,.0024701,.0006955,.0017746,.0031657,-.6780726,.3652931,,.063419,0,4
.0011031,.0006541,.000449,.0017572,.0021898,.0008479,.0013419,.0030378,-.4547015,.4701036,,.3334257,0,5
.0012634,.000523,.0007404,.0017863,.0033667,.0010442,.0023224,.0044109,-.9107398,.5226824,,.0814324,0,6
.0015043,.0005367,.0009676,.002041,.002754,.0011273,.0016267,.0038812,-.5145707,.5364871,,.3374841,0,7
.0008678,.0005234,.0003444,.0013912,.0026645,.0012508,.0014137,.0039153,-.7854199,.5838397,,.1785392,0,8
.0005928,.0005371,.0000557,.0011299,.0025705,.0007877,.0017828,.0033581,-.8772855,.4481596,,.0502853,0,9
-.0001765,.0004848,-.0006613,.0003083,.0022501,.0006179,.0016322,.002868,-1.108289,.4180849,,.0080284,0,10
-.0010471,.0005245,-.0015715,-.0005226,.0013019,.0008121,.0004899,.002114,-1.103701,.5369696,,.039838,0,11
-.0016481,.0005241,-.0021722,-.0011241,.0001655,.0010389,-.0008733,.0012044,-.8817523,.6096112,,.1480601,0,12
-.0020365,.0007517,-.0027882,-.0012847,-.0003311,.0009276,-.0012587,.0005966,-.846265,.6069768,,.1632483,0,13
-.0024746,.0005191,-.0029937,-.0019555,-.0001782,.0006791,-.0008573,.0005008,-1.130104,.3233896,,.0004748,0,14
-.0021868,.000639,-.0028258,-.0015478,.0008245,.0007392,.0000853,.0015637,-1.44465,.3520677,,.0000407,0,15
-.0016092,.0006544,-.0022635,-.0009548,.0004839,.0009398,-.0004559,.0014238,-1.007306,.4371396,,.0212051,0,16
