m_P,m_se_P,m_lb_P,m_ub_P,m_R,m_se_R,m_lb_R,m_ub_R,pp_coef,pp_se,pp_df,pp_val,zero_line,H_horiz
.0007998,.0001835,.0006162,.0009833,.000959,.0000702,.0008888,.0010291,-.1816636,.1342289,,.1759321,0,0
.0013911,.0002765,.0011146,.0016676,.0010588,.0001647,.0008941,.0012235,.1193341,.205723,,.5618662,0,1
.0019637,.0003597,.001604,.0023234,.0007951,.0002061,.000589,.0010011,.668325,.2515247,,.0078817,0,2
.0022871,.0004627,.0018245,.0027498,.0005975,.0001867,.0004108,.0007842,1.013177,.3278212,,.0019973,0,3
.0012777,.0006506,.0006271,.0019283,.0004624,.0002005,.0002619,.0006629,.4741241,.4481131,,.2900347,0,4
.0005549,.0007125,-.0001576,.0012673,.0004505,.0002176,.000233,.0006681,.027427,.4935586,,.9556845,0,5
.0007922,.0006695,.0001228,.0014617,.0002417,.0002528,-.0000111,.0004944,.3261558,.4573085,,.4757174,0,6
.0005592,.0006508,-.0000916,.00121,.0002395,.0002407,-1.16e-06,.0004803,.1809575,.4574124,,.6923919,0,7
.0000352,.0005654,-.0005301,.0006006,.0002683,.0002477,.0000206,.0005161,-.1695666,.4107734,,.6797543,0,8
-.0002759,.0005446,-.0008205,.0002686,.0001617,.0002549,-.0000932,.0004165,-.2892783,.3781059,,.4442285,0,9
-.0003304,.0006106,-.000941,.0002803,7.86e-06,.0002788,-.000271,.0002867,-.2136261,.4660077,,.6466525,0,10
.0000448,.0004869,-.0004421,.0005318,.0001453,.0003514,-.0002061,.0004967,-.075574,.4238384,,.8584807,0,11
.0003987,.0004677,-.0000689,.0008664,.0001352,.0003757,-.0002405,.0005109,.154479,.4003549,,.6996039,0,12
.0003362,.0005136,-.0001774,.0008498,.0000119,.0003768,-.0003649,.0003888,.2031636,.3787542,,.5916824,0,13
.0000661,.0005045,-.0004384,.0005706,-.0003137,.0003869,-.0007005,.0000732,.2657607,.3256688,,.4144739,0,14
.0000126,.0004454,-.0004328,.000458,-.0004322,.0004059,-.0008381,-.0000263,.3167601,.2301972,,.1688099,0,15
.000127,.0004448,-.0003178,.0005718,-.0006464,.0004562,-.0011026,-.0001902,.5419002,.2428847,,.0256745,0,16
