m_P,m_se_P,m_lb_P,m_ub_P,m_R,m_se_R,m_lb_R,m_ub_R,pp_coef,pp_se,pp_df,pp_val,zero_line,H_horiz
-.0212082,.0074945,-.0287027,-.0137137,-.0068674,.0059826,-.01285,-.0008849,-7.765928,4.975876,,.1185909,0,0
-.0188082,.0077605,-.0265687,-.0110477,-.0198969,.0140082,-.0339051,-.0058886,1.883735,9.266334,,.8389099,0,1
-.0221754,.0096816,-.0318571,-.0124938,-.032271,.0180968,-.0503679,-.0141742,7.818939,11.78198,,.5069239,0,2
-.0255445,.0094981,-.0350426,-.0160464,-.0293669,.0205357,-.0499026,-.0088312,4.047359,13.09847,,.7573255,0,3
-.0199822,.008044,-.0280262,-.0119382,-.014501,.0231333,-.0376343,.0086324,-2.215469,14.28243,,.8767279,0,4
-.0219934,.0073351,-.0293286,-.0146583,-.0154535,.0224353,-.0378888,.0069818,-2.76054,15.00103,,.8539951,0,5
-.0106626,.0090814,-.019744,-.0015812,-.0180651,.019935,-.0380001,.0018699,5.378385,14.05941,,.7020556,0,6
-.0104042,.0098563,-.0202604,-.0005479,-.0221568,.0192166,-.0413734,-.0029402,8.125523,12.97576,,.5311785,0,7
-.012143,.0109067,-.0230497,-.0012363,-.0091588,.0177362,-.026895,.0085774,-1.12608,13.63003,,.9341556,0,8
-.0095045,.0134062,-.0229107,.0039017,-.0050095,.0156204,-.02063,.0106109,-2.253067,13.54426,,.8678827,0,9
-.0007505,.01362,-.0143705,.0128695,-.0163207,.0156788,-.0319996,-.0006419,9.938803,13.64757,,.4664624,0,10
-.0000174,.0132813,-.0132987,.0132639,-.0137162,.0101017,-.0238179,-.0036145,8.703484,10.74195,,.4178064,0,11
-.0030434,.0133168,-.0163603,.0102734,.0005596,.0102367,-.0096771,.0107962,-2.095954,9.076049,,.8173673,0,12
-.0058113,.0150679,-.0208791,.0092566,-.0026403,.0112239,-.0138642,.0085837,-1.646089,9.018432,,.8551708,0,13
-.0055544,.0148277,-.0203821,.0092734,-.0003086,.0134754,-.013784,.0131668,-2.980379,10.29566,,.7722148,0,14
-.0036116,.0140834,-.017695,.0104718,-.0013007,.0144894,-.0157901,.0131887,-1.239111,11.4654,,.9139371,0,15
-.012505,.0157834,-.0282883,.0032784,.0043826,.0142004,-.0098178,.018583,-9.935449,12.86109,,.4398064,0,16
