yq,news,ind,bp
1913,0,,
1913.25,0,1,
1913.5,0,1,
1913.75,0,1,
1914,0,1,
1914.25,0,1,
1914.5,0,1,
1914.75,0,1,
1915,0,1,.0809642
1915.25,0,1,-.0408016
1915.5,0,1,-.1006684
1915.75,.024472,1,.0386707
1916,0,1,.0285928
1916.25,0,1,-.1448526
1916.5,.006079,1,.042777
1916.75,0,1,-.1490273
1917,0,1,.1237098
1917.25,.383316,1,.4347832
1917.5,0,1,-.2279604
1917.75,.069507,1,-.0303945
1918,0,1,.3917663
1918.25,.279528,1,.3037344
1918.5,-.072737,1,.1378875
1918.75,-.151859,1,-.0475151
1919,0,1,-.1552887
1919.25,0,1,-.2273537
1919.5,0,1,-.1396244
1919.75,0,0,-.2340211
1920,0,0,.1557556
1920.25,0,0,.0461965
1920.5,0,0,-.0157669
1920.75,0,0,.0325072
1921,0,0,.0951232
1921.25,0,0,-.063129
1921.5,0,0,-.2283791
1921.75,-.00996,0,.0808512
1922,0,0,.0062525
1922.25,0,0,.0468171
1922.5,0,0,-.0032062
1922.75,0,0,.1505869
1923,0,0,-.1756197
1923.25,0,0,-.1437154
1923.5,0,0,-.0749262
1923.75,0,0,.1861114
1924,0,0,-.1144052
1924.25,0,0,.0874255
1924.5,0,0,-.1014657
1924.75,0,0,.0282063
1925,0,0,.0055693
1925.25,0,0,-.1665981
1925.5,0,0,.088985
1925.75,0,0,-.0659639
1926,0,0,-.0253867
1926.25,0,1,.0212655
1926.5,0,1,-.1242536
1926.75,0,1,.0830992
1927,0,1,-.0381985
1927.25,0,1,-.07611
1927.5,0,1,.027693
1927.75,0,1,-.1039273
1928,.002669,1,.0651555
1928.25,0,0,-.1059836
1928.5,0,0,-.0193542
1928.75,0,0,-.0242721
1929,0,0,-.028249
1929.25,0,0,-.0571541
1929.5,0,0,-.046155
1929.75,0,0,.0061591
1930,0,0,.0168583
1930.25,0,0,.027721
1930.5,0,0,-.0557573
1930.75,0,0,.0361254
1931,0,0,.1601904
1931.25,0,1,-.1674334
1931.5,0,1,.1722437
1931.75,0,1,-.2635035
1932,0,1,.1769831
1932.25,0,1,.1912246
1932.5,0,1,-.1374157
1932.75,0,1,-.0220464
1933,0,1,-.0177278
1933.25,0,1,.0960564
1933.5,0,1,-.2013423
1933.75,0,1,.3261337
1934,.014698,1,-.024187
1934.25,0,1,-.0106061
1934.5,0,1,-.1825747
1934.75,0,1,.037809
1935,0,1,.0102061
1935.25,0,1,.0900766
1935.5,0,1,.0157417
1935.75,0,1,-.0680067
1936,0,1,.0111906
1936.25,0,0,-.0199409
1936.5,0,0,.0362887
1936.75,0,0,-.0134762
1937,0,0,-.0959133
1937.25,0,0,-.0995668
1937.5,0,0,-.0273797
1937.75,0,0,-.1093548
1938,0,0,.0702216
1938.25,.000914,1,.087557
1938.5,0,1,.0990993
1938.75,0,1,-.0320981
1939,.005393,1,-.0751699
1939.25,0,1,.0111529
1939.5,.007653,1,.0034332
1939.75,0,1,.0474324
1940,0,1,-.055462
1940.25,.317231,1,-.0755158
1940.5,0,1,-.0420713
1940.75,.047093,1,.1061262
1941,.065174,1,.1039545
1941.25,.384019,1,-.0748303
1941.5,0,1,.0303487
1941.75,.728041,1,.0870737
1942,0,1,.0768515
1942.25,.197096,1,.0946241
1942.5,.413483,1,.1036672
1942.75,0,1,.0356934
1943,.123456,1,-.0122179
1943.25,0,1,.0117477
1943.5,0,1,.0853431
1943.75,0,1,.1117935
1944,0,1,.1016856
1944.25,-.155931,1,.0242962
1944.5,0,1,.066759
1944.75,.085241,1,.0940948
1945,0,1,.0650601
1945.25,0,0,.0744418
1945.5,-.172065,0,-.1046298
1945.75,0,0,-.2041339
1946,0,0,-.1947531
1946.25,0,0,.107782
1946.5,.016623,0,.004072
1946.75,0,0,.0425569
1947,0,0,-.013541
1947.25,.032087,0,.0147291
1947.5,0,0,-.0487812
1947.75,0,0,-.0172025
1948,.006915,0,.0204816
1948.25,.013149,0,.0696716
1948.5,0,0,.0014526
1948.75,0,0,.0245889
1949,0,1,.065255
1949.25,0,1,.0508559
1949.5,0,1,.0148276
1949.75,-.007319,1,-.0199976
1950,0,1,-.0411705
